,分組,說明
,解析度,150~300dpi
,檔案格式,jpg / psd / ai
,色彩設定,"灰階模式，黑白呈現，彩稿不受理。（建議提供彩稿預想圖，能更準確提供建議）
孔版印刷只能讀取黑白數值。
輸出的檔案中，所有顏色都必須先轉換成灰階。
再手動調整黑色的數值，至實際合適的墨色濃度。
 K（黒）的數值愈高，實際印刷濃度也愈高愈飽和。
 CMY都需確保 數值歸０，才不會有設定上的差異。"
,紙張尺寸,最大 A3（420x297mm）
,印刷範圍,"A3全紙印刷請留四邊白邊
孔版印刷機材限制之因，在A3上無法印刷滿版設計，須留四邊白邊。
薄紙請四邊各留 10mm 的空白。（最大印刷範圍 277x400mm）
厚紙請四邊各留 15mm 的空白。（最大印刷範圍 267x390mm）"
,可指定長寬,不需自行排版，提供含出血的原稿即可。
,出血設定,"長、寬各 +6mm（需裁切加工指定用）
將圖案延長做滿到出血範圍中。
可避免裁切時誤差中露出沒有印刷的白邊。"
,檔案內容,一色一版，兩色就有兩個檔案，依此類推。
,紙材規格,"Risograph孔版印刷機是很挑紙材的，也想更有彈性的尋找到有趣且適合的紙材，來發揮孔版印刷最大的魅力。
常見的各式影印紙不管彩色或黑白、70g或80g也是可以入手印刷的薄紙材。
（紙張重量須介於60-250g之間）
目前可以洽談想要的紙材代印，可以看看其他有在販售紙材的孔版印刷店，寄送紙材給誌造所代為印製。"
,白墨,本工作室沒有孔版的白墨，更多墨色介紹請見：https://www.zinerstudio.com/riso-ink
,下單方式,"下單印刷請直接去填單：https://www.zinerstudio.com/order
所需訂購資訊多，不可在聊天室內下單。"
,金墨問題,孔版印刷的金，是金墨，不是燙金。燙金與金墨是完全不同的效果及工法，
,印刷品項,除了印製名片、明信片及海報等紙品外，貼紙、燙金、紙盒都不在業務受理範圍。
,起印數量,"一張起印也受理，就是很貴啦！
建議十張一個單位訂購，視訂購需求額外追加耗損張數。"
,工作天數,"誌造所的孔版機為雙色機種，一次可印兩色。
一天印兩色為主，越多色，工作天數越多。
​厚紙會多加一天乾燥油墨。
檔案設計有特殊狀況也會增加天數。
休六日不開機。"
,協助完稿,"彩稿轉孔版用檔案很難？沒概念？給我錢錢就幫做好！
​協助製成孔版印刷檔案、彩色分版分色、黑白濃度調整等。
基本價 600元：分色數量四色以內（涵蓋單色至三色）
多一色： +150元
完工後會分色儲存打包帶走，檔案可在此送印或他家送印也無妨。"
,取件方式,"無法提供現場取件。
提供7-11超取｜黑貓宅配
急件送貨的話，可叫LALAMOVE（限大台北地區）"
,孔版用紙,孔版印刷的印刷版是一張很薄像蠟紙一樣的版紙，每一次製版印刷時會重新製作並自動回收掉之前的版，無法做保留。
,報價參考,有線上試算機可自行簡易估價印刷費：https://www.zinerstudio.com/quote
,印製張數,"單張可訂購，但一定會追加耗損張數，作為對位裁切等消耗使用。
不想要耗損張數，只要訂購數量的話，測試調整消耗的部位會直接使用到訂購數量中。"
,工作坊,孔版印刷體驗工作坊每個月都會開課，詳情日程及報名方式請見：https://forms.gle/xJmYEr4tdmhRpKd59
,裝訂,線裝製本無法試作，孔版印刷可以試印，可以先看看混色狀態。
,其他,用孔版印刷製作作品集，要先注意的是製作成本會非常高，因為孔版印刷的特性及手工製作上，是一定要多準備耗損備量，不可能只做一本的費用。
,其他,喜帖/結婚書約等，可以印製，最少量一張起印，但製作時涵蓋耗損張數，費用由客人負擔。
,孔版油墨,本工作室目前擁有11款墨色：黑、藍、黃、綠、紅、紫、金、天空、薄荷、螢粉、螢橘
